Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length,Characters,Words,Corpus Name,Sentences,Type
0.00023,0.00460,0.00060,0.00078,0.00078,0.00045,0.00060,0.00035,0.00000,0.00003,0.00000,0.00015,0.00000,0.00236,0.00068,0.00340,0.00000,0.00050,,0.00488,,0.00038,0.00065,,,222.11732,39759,6244,tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.30.tess,179,
0.00013,0.00296,0.00044,0.00064,0.00064,0.00053,0.00046,0.00052,0.00000,0.00002,0.00000,0.00027,0.00000,0.00165,0.00030,0.00341,0.00000,0.00036,,0.00392,,0.00031,0.00027,,,190.38623,63589,9993,tesserae/texts/la/ammianus.rerum_gestarum/ammianus.rerum_gestarum.part.31.tess,334,
0.00477,0.00110,0.00000,0.00073,0.00073,0.00000,0.00018,0.00018,0.00000,0.00000,0.00000,0.00000,0.00000,0.00128,0.00055,0.00147,0.00110,0.00000,,0.00440,,0.00073,0.00055,,,132.92683,5450,953,tesserae/texts/la/anonymous.laudes_domini.tess,41,
0.00471,0.00572,0.00035,0.00089,0.00089,0.00046,0.00077,0.00046,0.00009,0.00002,0.00000,0.00010,0.00018,0.00186,0.00189,0.00375,0.00178,0.00093,,0.00668,,0.00058,0.00045,,,132.78452,126942,23186,tesserae/texts/la/apuleius.apologia.tess,956,
0.00314,0.00529,0.00033,0.00092,0.00092,0.00054,0.00056,0.00040,0.00008,0.00000,0.00000,0.00015,0.00031,0.00134,0.00109,0.00301,0.00052,0.00119,,0.00552,,0.00054,0.00038,,,171.36201,47810,8163,tesserae/texts/la/apuleius.florida.tess,279,
0.00349,0.00395,0.00051,0.00072,0.00072,0.00039,0.00092,0.00010,0.00002,0.00001,0.00000,0.00024,0.00007,0.00082,0.00039,0.00241,0.00061,0.00086,,0.00341,,0.00020,0.00025,,,187.64426,334945,55129,tesserae/texts/la/apuleius.metamorphoses.tess,1785,
0.00578,0.00570,0.00026,0.00047,0.00047,0.00043,0.00089,0.00017,0.00004,0.00000,0.00000,0.00047,0.00009,0.00140,0.00047,0.00204,0.00174,0.00051,,0.00455,,0.00009,0.00013,,,135.20690,23526,4173,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.1.tess,174,
0.00204,0.00373,0.00046,0.00102,0.00102,0.00043,0.00094,0.00016,0.00005,0.00003,0.00000,0.00011,0.00003,0.00083,0.00046,0.00209,0.00019,0.00145,,0.00381,,0.00016,0.00027,,,230.09877,37276,5933,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.10.tess,162,
0.00331,0.00219,0.00028,0.00031,0.00031,0.00037,0.00109,0.00019,0.00000,0.00000,0.00000,0.00012,0.00006,0.00041,0.00025,0.00206,0.00022,0.00069,,0.00378,,0.00031,0.00016,,,216.27027,32008,5078,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.11.tess,148,
0.00409,0.00492,0.00062,0.00021,0.00021,0.00049,0.00097,0.00007,0.00003,0.00003,0.00000,0.00042,0.00017,0.00104,0.00035,0.00250,0.00073,0.00059,,0.00336,,0.00021,0.00031,,,160.28333,28851,4985,tesserae/texts/la/apuleius.metamorphoses/apuleius.metamorphoses.part.2.tess,180,
